panel,sort_variable,variable_label,spread_definition,return_horizon_months,raw_coefficient,raw_hac_t_stat,raw_hac_p_value,orth_coefficient,orth_hac_t_stat,orth_hac_p_value,orth_bootstrap_t_stat,orth_bootstrap_p_value,orth_observations
"Panel A. Size, Age, and Risk",ME,\var{ME},Small minus big,1,-0.9201348440557816,-1.1733419622974537,0.24065870110385432,-1.3357952762298873,-1.9013452358800276,0.057256807606735426,-1.918716687205648,0.05,288
"Panel A. Size, Age, and Risk",ME,\var{ME},Small minus big,3,-0.5218086808152442,-0.3368669491498844,0.7362172013323123,-2.4359241425683846,-1.3832050010553625,0.16660201673611652,-1.3870875936311349,0.192,286
"Panel A. Size, Age, and Risk",ME,\var{ME},Small minus big,6,-3.820454823187479,-1.413010156142846,0.1576527379185168,-6.546560593628212,-2.3877687619725823,0.016951003509184166,-2.3862385796633414,0.022,283
"Panel A. Size, Age, and Risk",ME,\var{ME},Small minus big,12,-9.141759860497784,-1.609231884873022,0.10756564686248496,-14.037084190102998,-3.147651588938405,0.001645877411047334,-2.8427154223140776,0.02,277
"Panel A. Size, Age, and Risk",age,\var{Age},Young minus old,1,-0.40304194464652,-0.9085609409966297,0.36358193196347194,-0.3783411043790907,-0.8045698009288416,0.42106797473225144,-0.831093250424091,0.424,288
"Panel A. Size, Age, and Risk",age,\var{Age},Young minus old,3,-1.5283826107115377,-1.3472074470215811,0.1779134301876573,-1.0564517219856182,-0.7922248448711565,0.42822958437232267,-0.7448901207800737,0.51,286
"Panel A. Size, Age, and Risk",age,\var{Age},Young minus old,6,-3.28128777189013,-1.8696692656314131,0.061529760028536565,-2.861575375080533,-1.2308986909146429,0.21836075729008672,-1.2168241738584145,0.252,283
"Panel A. Size, Age, and Risk",age,\var{Age},Young minus old,12,-6.3252831658425945,-1.8214129237838432,0.06854411209767221,-8.365347151917195,-2.2878342987085327,0.0221471726150163,-2.1140762429088014,0.086,277
"Panel A. Size, Age, and Risk",risk,$\sigma$,High minus low,1,-0.7867610199725563,-1.1882734697090496,0.23472568648745037,-2.600736131326331,-3.503741957136944,0.00045876967288911307,-3.506895497624256,0.0,288
"Panel A. Size, Age, and Risk",risk,$\sigma$,High minus low,3,-1.3027530781494705,-0.8136638780565075,0.4158375328526133,-6.493914795755549,-3.559900218081847,0.00037099573305755194,-3.4759732873420925,0.0,286
"Panel A. Size, Age, and Risk",risk,$\sigma$,High minus low,6,-4.219815917011403,-1.653165991753869,0.09829708572501654,-12.078322058436076,-4.296106030206289,1.7382446570043623e-05,-4.254726553253522,0.0,283
"Panel A. Size, Age, and Risk",risk,$\sigma$,High minus low,12,-5.453635875946079,-1.0913241718755573,0.27513026524233897,-19.654021763246444,-4.434572031997647,9.225537086149595e-06,-4.183523151991827,0.0,277
"Panel A. Size, Age, and Risk",IVOL_FF3,\var{IVOL}^{FF3},High minus low,1,-0.6782248698025622,-0.8534229273520749,0.39342481157234116,-2.242455345153076,-2.6943478567645247,0.007052651663799012,-2.69177190433729,0.0,288
