sort_variable,ME,age,risk,IVOL_FF3,E_plus_BE,UNPROFITABLE,NON_D_PAYER,PPE_A,GS,ILLIQ,XTURN
ME,1.0,0.10982675095263514,0.5148767236904256,0.6219779318959874,0.1746213458582349,0.3868644678733961,0.7023925437570664,0.2600949107491318,-0.039599063135458946,0.8128681997936755,-0.2769042711365946
age,0.10982675095263514,1.0,-0.05064182233509185,-0.03901424418461863,0.01637951121454834,0.17545734722944242,0.16028417766313102,0.024127957096943303,0.0880493770891801,0.13776675646926814,0.21245463034902748
risk,0.5148767236904256,-0.05064182233509185,1.0,0.8110519616174425,-0.00905419009382857,0.1465645373875884,0.6077745156374658,0.2652840343677982,0.047983930585950976,0.4465449205960119,-0.55929853124369
IVOL_FF3,0.6219779318959874,-0.03901424418461863,0.8110519616174425,1.0,0.023194262217852864,0.2035890462850153,0.654432526692725,0.19554563025402402,0.031797428404440324,0.5868169068650135,-0.5373105481648656
E_plus_BE,0.1746213458582349,0.01637951121454834,-0.00905419009382857,0.023194262217852864,1.0,0.8052403715880154,0.18015017831153465,0.083027155627708,-0.11560568764719646,0.10538715181816227,-0.03022452547296097
UNPROFITABLE,0.3868644678733961,0.17545734722944242,0.1465645373875884,0.2035890462850153,0.8052403715880154,1.0,0.3995527037531936,0.13454926136853146,-0.13068752694454067,0.31773884220079307,-0.12792056055422568
NON_D_PAYER,0.7023925437570664,0.16028417766313102,0.6077745156374658,0.654432526692725,0.18015017831153465,0.3995527037531936,1.0,0.22051348829049428,-0.05509545314901726,0.6583922177161363,-0.46770873739900415
PPE_A,0.2600949107491318,0.024127957096943303,0.2652840343677982,0.19554563025402402,0.083027155627708,0.13454926136853146,0.22051348829049428,1.0,-0.09392605835090528,0.19139615779354324,-0.22389891520232028
GS,-0.039599063135458946,0.0880493770891801,0.047983930585950976,0.031797428404440324,-0.11560568764719646,-0.13068752694454067,-0.05509545314901726,-0.09392605835090528,1.0,-0.06461649302636968,0.0709880677049423
ILLIQ,0.8128681997936755,0.13776675646926814,0.4465449205960119,0.5868169068650135,0.10538715181816227,0.31773884220079307,0.6583922177161363,0.19139615779354324,-0.06461649302636968,1.0,-0.07310549562025417
XTURN,-0.2769042711365946,0.21245463034902748,-0.55929853124369,-0.5373105481648656,-0.03022452547296097,-0.12792056055422568,-0.46770873739900415,-0.22389891520232028,0.0709880677049423,-0.07310549562025417,1.0
