sort_variable,characteristic,sentiment_prone_direction,sentiment_prone_interpretation,return_horizon_months,n_obs,sentiment_only_coef,factor_adjusted_coef,coef_change,sentiment_only_t,factor_adjusted_t,sentiment_only_r2,factor_adjusted_r2,delta_r2,sentiment_sign_change,hac_lags
E_plus_BE,Low profitability,low_minus_high,low_profitability,1,256,-0.0300126110012619,-0.4370657088165867,-0.4070530978153248,-0.0470569219895384,-0.6437855180670194,8.856521270583784e-06,0.0707811021510335,0.0707722456297629,False,4
ILLIQ,Illiquidity,high_minus_low,high_amihud_illiquidity,1,288,0.5956662669084951,-0.3036501593896238,-0.899316426298119,1.009230660687594,-0.6787778222452423,0.002396293970626,0.45330902899085,0.450912735020224,True,4
IVOL_FF3,IVOL (FF3),high_minus_low,high_ff3_idiosyncratic_volatility,1,288,-0.3357503972093147,-2.2424553451530835,-1.9067049479437688,-0.3458371076229058,-2.7456052422782378,0.0004725795677612,0.448787680740477,0.4483151011727158,False,4
ME,Small firms,low_minus_high,small_firms,1,288,-0.1562221370860864,-1.3357952762298932,-1.179573139143807,-0.211040696212503,-1.9556674978326145,0.0001152684744787,0.4313379108045599,0.4312226423300812,False,4
NON_D_PAYER,Non-dividend payer,prone_minus_safe,non_dividend_payers,1,288,0.1316037506943159,-0.6287734580445504,-0.7603772087388664,0.3281281944064756,-2.3076818203879648,0.0003916346792444,0.5879108164954372,0.5875191818161928,True,4
PPE_A,Low tangibility,low_minus_high,low_tangibility,1,288,-0.9339915633505236,-1.2736622546159142,-0.3396706912653905,-2.1673183874969992,-3.009932665151149,0.0132570074431275,0.0675011999555738,0.0542441925124462,False,4
UNPROFITABLE,Unprofitable,prone_minus_safe,non_positive_earnings,1,256,0.095918390402154,-0.5426205735226455,-0.6385389639247995,0.174833887967461,-0.966746264206908,0.0001338978086657,0.2643182541566639,0.2641843563479981,True,4
XTURN,Low turnover,low_minus_high,low_share_turnover,1,288,-0.943690139903184,-0.1060007950223732,0.8376893448808108,-1.43228223060063,-0.1613822035287365,0.007445052571803,0.211325016732961,0.2038799641611579,False,4
age,Young firms,low_minus_high,young_firms,1,288,-0.1631974573236461,-0.3783411043790922,-0.215143647055446,-0.3402837112773916,-0.8125062883397947,0.0003683302939259,0.1274581412058424,0.1270898109119165,False,4
risk,Total risk,high_minus_low,high_total_volatility,1,288,-0.5808193029497217,-2.6007361313263404,-2.0199168283766187,-0.6390727226942277,-3.649996048774808,0.0015836352009427,0.5090116282794115,0.5074279930784688,False,4
E_plus_BE,Low profitability,low_minus_high,low_profitability,3,252,1.3171529482087352,0.4293950310205982,-0.8877579171881369,0.9845610764069384,0.3401336884170425,0.0077230733170566,0.0740408828888269,0.0663178095717702,False,4
ILLIQ,Illiquidity,high_minus_low,high_amihud_illiquidity,3,286,3.273390940332182,-0.0304291585832975,-3.30382009891548,2.3392378403878857,-0.0290937177239042,0.0300949861209653,0.530271475691011,0.5001764895700456,True,4
IVOL_FF3,IVOL (FF3),high_minus_low,high_ff3_idiosyncratic_volatility,3,286,-0.5432520318450779,-5.598576500099088,-5.05532446825401,-0.232683495560032,-3.045805171208344,0.0004472436053323,0.4513618226529557,0.4509145790476234,False,4
ME,Small firms,low_minus_high,small_firms,3,286,1.5968111203065602,-2.4359241425683824,-4.032735262874943,0.796816713347618,-1.4211230395635444,0.0045364508690552,0.4511724180681046,0.4466359671990493,True,4
NON_D_PAYER,Non-dividend payer,prone_minus_safe,non_dividend_payers,3,286,0.7870263495877599,-1.8788007706928644,-2.6658271202806243,0.6835870934273921,-2.541531377992118,0.0043465003869956,0.598481826729189,0.5941353263421933,True,4
PPE_A,Low tangibility,low_minus_high,low_tangibility,3,286,-3.1893121297017126,-4.455361068626996,-1.2660489389252838,-2.7113462436891944,-3.913326758205468,0.0470213859816595,0.143374943958413,0.0963535579767534,False,4
UNPROFITABLE,Unprofitable,prone_minus_safe,non_positive_earnings,3,252,0.7771428744788631,-1.1095867280858749,-1.886729602564738,0.7438682837830842,-1.3792763840038362,0.0045385278559297,0.4865666434485799,0.4820281155926501,True,4
XTURN,Low turnover,low_minus_high,low_share_turnover,3,286,-1.466867752563623,1.0366837409045608,2.5035514934681835,-0.864669952767159,0.6344209567017101,0.0057308674215036,0.1858700252427498,0.1801391578212462,True,4
age,Young firms,low_minus_high,young_firms,3,286,0.3268833135434019,-1.0564517219856175,-1.3833350355290197,0.2518073073739712,-0.8113311324907436,0.0004380073907208,0.2267955597203901,0.2263575523296692,True,4
risk,Total risk,high_minus_low,high_total_volatility,3,286,-1.3095423691122776,-6.493914795755543,-5.1843724266432645,-0.5773850998598702,-3.716051833726514,0.0029565021668022,0.5195461313275116,0.5165896291607094,False,4
E_plus_BE,Low profitability,low_minus_high,low_profitability,6,247,1.44646746483511,0.4082646724744195,-1.0382027923606905,0.6125427420427461,0.1794308379813111,0.0057098480930702,0.1068114924717729,0.1011016443787026,False,5
