sort_variable,sort_type,sentiment_prone_direction,sentiment_prone_interpretation,month_end_date,spread_code,spread_return
ME,continuous,low_minus_high,small_firms,2000-02-29,P10_P01,-4.187896467132072
ME,continuous,low_minus_high,small_firms,2000-03-31,P10_P01,-16.651765022565492
ME,continuous,low_minus_high,small_firms,2000-04-30,P10_P01,4.12113723370561
ME,continuous,low_minus_high,small_firms,2000-05-31,P10_P01,3.9852190967237826
ME,continuous,low_minus_high,small_firms,2000-06-30,P10_P01,6.276697355107345
ME,continuous,low_minus_high,small_firms,2000-07-31,P10_P01,4.450276697911342
ME,continuous,low_minus_high,small_firms,2000-08-31,P10_P01,-3.0833979963354103
ME,continuous,low_minus_high,small_firms,2000-09-30,P10_P01,-2.250796301732078
ME,continuous,low_minus_high,small_firms,2000-10-31,P10_P01,17.327169700737556
ME,continuous,low_minus_high,small_firms,2000-11-30,P10_P01,3.6000150862680274
ME,continuous,low_minus_high,small_firms,2000-12-31,P10_P01,21.823154448417604
ME,continuous,low_minus_high,small_firms,2001-01-31,P10_P01,-23.69738894673616
ME,continuous,low_minus_high,small_firms,2001-02-28,P10_P01,1.667126724697301
ME,continuous,low_minus_high,small_firms,2001-03-31,P10_P01,5.222009584792826
ME,continuous,low_minus_high,small_firms,2001-04-30,P10_P01,13.362822376069131
ME,continuous,low_minus_high,small_firms,2001-05-31,P10_P01,4.045373751867339
ME,continuous,low_minus_high,small_firms,2001-06-30,P10_P01,8.356784597028689
ME,continuous,low_minus_high,small_firms,2001-07-31,P10_P01,12.889225341720211
ME,continuous,low_minus_high,small_firms,2001-08-31,P10_P01,-2.5006694412750736
ME,continuous,low_minus_high,small_firms,2001-09-30,P10_P01,10.147588151680488
ME,continuous,low_minus_high,small_firms,2001-10-31,P10_P01,-3.803877271688841
ME,continuous,low_minus_high,small_firms,2001-11-30,P10_P01,-0.29757598127049256
ME,continuous,low_minus_high,small_firms,2001-12-31,P10_P01,12.839705703041707
ME,continuous,low_minus_high,small_firms,2002-01-31,P10_P01,-10.148975905887978
ME,continuous,low_minus_high,small_firms,2002-02-28,P10_P01,9.229031050396053
ME,continuous,low_minus_high,small_firms,2002-03-31,P10_P01,0.5243294061947719
ME,continuous,low_minus_high,small_firms,2002-04-30,P10_P01,6.763072950666026
ME,continuous,low_minus_high,small_firms,2002-05-31,P10_P01,4.238507148330392
ME,continuous,low_minus_high,small_firms,2002-06-30,P10_P01,2.81447653711671
ME,continuous,low_minus_high,small_firms,2002-07-31,P10_P01,-6.6970943802590766
ME,continuous,low_minus_high,small_firms,2002-08-31,P10_P01,-4.366816154732507
ME,continuous,low_minus_high,small_firms,2002-09-30,P10_P01,6.640336545955252
ME,continuous,low_minus_high,small_firms,2002-10-31,P10_P01,-3.1017772171498414
ME,continuous,low_minus_high,small_firms,2002-11-30,P10_P01,-41.00191543463084
ME,continuous,low_minus_high,small_firms,2002-12-31,P10_P01,9.884907164562279
ME,continuous,low_minus_high,small_firms,2003-01-31,P10_P01,-5.480418304045532
ME,continuous,low_minus_high,small_firms,2003-02-28,P10_P01,-8.239285859164672
ME,continuous,low_minus_high,small_firms,2003-03-31,P10_P01,1.9829857047982862
ME,continuous,low_minus_high,small_firms,2003-04-30,P10_P01,14.611187342577464
