robustness_method,return_horizon_months,sort_variable,sentiment_prone_direction,sentiment_prone_interpretation,coef,expected_signed_hac_t_stat,expected_signed_bootstrap_t_stat,theory_consistent_sign_flag,theory_consistent_sign_share,theory_consistent_hac_5pct_share,theory_consistent_bootstrap_5pct_share,n_obs,model_count
nonoverlapping_horizon_median_offset,1,E_plus_BE,low_minus_high,low_profitability,-0.4370657088165858,0.6361964255385215,0.6163812533223888,True,1.0,0.0,0.0,256.0,1
overlapping_baseline,1,E_plus_BE,low_minus_high,low_profitability,-0.4370657088165858,0.6361964255385215,0.6163812533223888,True,1.0,0.0,0.0,256.0,1
sentiment_ar1_innovation,1,E_plus_BE,low_minus_high,low_profitability,0.1791214561956041,-0.31478662970634474,-0.2865904831626218,False,0.0,0.0,0.0,255.0,1
nonoverlapping_horizon_median_offset,1,GS,high_minus_low,high_sales_growth,-0.7974228400469376,1.3264732231883396,1.284741793096831,True,1.0,0.0,0.0,240.0,1
overlapping_baseline,1,GS,high_minus_low,high_sales_growth,-0.7974228400469376,1.3264732231883396,1.284741793096831,True,1.0,0.0,0.0,240.0,1
sentiment_ar1_innovation,1,GS,high_minus_low,high_sales_growth,-2.7254144748151843,2.4404865498247914,2.224064798124917,True,1.0,1.0,1.0,240.0,1
nonoverlapping_horizon_median_offset,1,ILLIQ,high_minus_low,high_amihud_illiquidity,-0.30365015938962325,0.6651726596065602,0.6615227355713091,True,1.0,0.0,0.0,288.0,1
overlapping_baseline,1,ILLIQ,high_minus_low,high_amihud_illiquidity,-0.30365015938962325,0.6651726596065602,0.6615227355713091,True,1.0,0.0,0.0,288.0,1
sentiment_ar1_innovation,1,ILLIQ,high_minus_low,high_amihud_illiquidity,-0.7482590645438191,0.9252775618525233,0.908074681755996,True,1.0,0.0,0.0,287.0,1
nonoverlapping_horizon_median_offset,1,IVOL_FF3,high_minus_low,high_ff3_idiosyncratic_volatility,-2.242455345153076,2.6943478567645247,2.69177190433729,True,1.0,1.0,1.0,288.0,1
overlapping_baseline,1,IVOL_FF3,high_minus_low,high_ff3_idiosyncratic_volatility,-2.242455345153076,2.6943478567645247,2.69177190433729,True,1.0,1.0,1.0,288.0,1
sentiment_ar1_innovation,1,IVOL_FF3,high_minus_low,high_ff3_idiosyncratic_volatility,-1.256235545488267,1.076346454404782,1.0328101960906377,True,1.0,0.0,0.0,287.0,1
nonoverlapping_horizon_median_offset,1,ME,low_minus_high,small_firms,-1.3357952762298873,1.9013452358800274,1.9187166872056478,True,1.0,0.0,0.0,288.0,1
overlapping_baseline,1,ME,low_minus_high,small_firms,-1.3357952762298873,1.9013452358800274,1.9187166872056478,True,1.0,0.0,0.0,288.0,1
sentiment_ar1_innovation,1,ME,low_minus_high,small_firms,-2.2290827376134947,2.5688074006697947,2.2892587538460356,True,1.0,1.0,1.0,287.0,1
nonoverlapping_horizon_median_offset,1,NON_D_PAYER,prone_minus_safe,non_dividend_payers,-0.6287734580445482,2.238945186897832,2.2622138870558235,True,1.0,1.0,1.0,288.0,1
