sort_variable,sort_type,sentiment_prone_direction,sentiment_prone_interpretation,month_end_date,portfolio_code,portfolio_return
ME,continuous,low_minus_high,small_firms,2000-02-29,P01,14.202879121374911
ME,continuous,low_minus_high,small_firms,2000-02-29,P02,9.288403208213728
ME,continuous,low_minus_high,small_firms,2000-02-29,P03,6.167045553144584
ME,continuous,low_minus_high,small_firms,2000-02-29,P04,21.41674761083068
ME,continuous,low_minus_high,small_firms,2000-02-29,P05,10.578808000973195
ME,continuous,low_minus_high,small_firms,2000-02-29,P06,16.051202509163307
ME,continuous,low_minus_high,small_firms,2000-02-29,P07,18.305758119713055
ME,continuous,low_minus_high,small_firms,2000-02-29,P08,14.84686128807931
ME,continuous,low_minus_high,small_firms,2000-02-29,P09,4.242365833711869
ME,continuous,low_minus_high,small_firms,2000-02-29,P10,10.01498265424284
ME,continuous,low_minus_high,small_firms,2000-03-31,P01,13.70721453671233
ME,continuous,low_minus_high,small_firms,2000-03-31,P02,-0.25119317946331876
ME,continuous,low_minus_high,small_firms,2000-03-31,P03,-0.5146043737381619
ME,continuous,low_minus_high,small_firms,2000-03-31,P04,3.526345753948583
ME,continuous,low_minus_high,small_firms,2000-03-31,P05,0.4995280943350581
ME,continuous,low_minus_high,small_firms,2000-03-31,P06,-7.607662033689719
ME,continuous,low_minus_high,small_firms,2000-03-31,P07,-7.683604062225597
ME,continuous,low_minus_high,small_firms,2000-03-31,P08,-0.7151502906490937
ME,continuous,low_minus_high,small_firms,2000-03-31,P09,-2.6111081313078097
ME,continuous,low_minus_high,small_firms,2000-03-31,P10,-2.9445504858531604
ME,continuous,low_minus_high,small_firms,2000-04-30,P01,-5.352792231068052
ME,continuous,low_minus_high,small_firms,2000-04-30,P02,-2.1948950667293694
ME,continuous,low_minus_high,small_firms,2000-04-30,P03,-2.0430459487989423
ME,continuous,low_minus_high,small_firms,2000-04-30,P04,-8.725062068651214
ME,continuous,low_minus_high,small_firms,2000-04-30,P05,-9.260454684450043
ME,continuous,low_minus_high,small_firms,2000-04-30,P06,-7.681546842515988
ME,continuous,low_minus_high,small_firms,2000-04-30,P07,1.368004036637426
ME,continuous,low_minus_high,small_firms,2000-04-30,P08,-0.8383167674726069
ME,continuous,low_minus_high,small_firms,2000-04-30,P09,-7.257727494898853
ME,continuous,low_minus_high,small_firms,2000-04-30,P10,-1.2316549973624424
ME,continuous,low_minus_high,small_firms,2000-05-31,P01,-11.692371177364123
ME,continuous,low_minus_high,small_firms,2000-05-31,P02,-5.446694956372938
ME,continuous,low_minus_high,small_firms,2000-05-31,P03,-7.561165642500449
ME,continuous,low_minus_high,small_firms,2000-05-31,P04,-10.342583212798429
ME,continuous,low_minus_high,small_firms,2000-05-31,P05,-8.678352882573266
ME,continuous,low_minus_high,small_firms,2000-05-31,P06,-7.217832015554378
ME,continuous,low_minus_high,small_firms,2000-05-31,P07,-1.801825958000421
ME,continuous,low_minus_high,small_firms,2000-05-31,P08,-11.647623278174581
ME,continuous,low_minus_high,small_firms,2000-05-31,P09,-3.1119418920422968
ME,continuous,low_minus_high,small_firms,2000-05-31,P10,-7.70715208064034
ME,continuous,low_minus_high,small_firms,2000-06-30,P01,-11.114385865931325
ME,continuous,low_minus_high,small_firms,2000-06-30,P02,-5.894045488972157
ME,continuous,low_minus_high,small_firms,2000-06-30,P03,-7.433926245151179
ME,continuous,low_minus_high,small_firms,2000-06-30,P04,-9.14117138925966
ME,continuous,low_minus_high,small_firms,2000-06-30,P05,-11.90569178190141
ME,continuous,low_minus_high,small_firms,2000-06-30,P06,-8.675385021040896
ME,continuous,low_minus_high,small_firms,2000-06-30,P07,-6.091371164328113
ME,continuous,low_minus_high,small_firms,2000-06-30,P08,-12.748847087738048
ME,continuous,low_minus_high,small_firms,2000-06-30,P09,-1.7540215372434045
ME,continuous,low_minus_high,small_firms,2000-06-30,P10,-4.83768851082398
ME,continuous,low_minus_high,small_firms,2000-07-31,P01,-2.2343457020124062
ME,continuous,low_minus_high,small_firms,2000-07-31,P02,-0.8919572261386272
ME,continuous,low_minus_high,small_firms,2000-07-31,P03,-1.6503082641347613
ME,continuous,low_minus_high,small_firms,2000-07-31,P04,-3.6825248114618296
ME,continuous,low_minus_high,small_firms,2000-07-31,P05,-4.397173792386378
ME,continuous,low_minus_high,small_firms,2000-07-31,P06,3.877035252627201
ME,continuous,low_minus_high,small_firms,2000-07-31,P07,5.243298515291361
ME,continuous,low_minus_high,small_firms,2000-07-31,P08,3.37473496189744
ME,continuous,low_minus_high,small_firms,2000-07-31,P09,3.782149537369318
ME,continuous,low_minus_high,small_firms,2000-07-31,P10,2.2159309958989355
ME,continuous,low_minus_high,small_firms,2000-08-31,P01,3.558934334739546
ME,continuous,low_minus_high,small_firms,2000-08-31,P02,5.065096311425428
ME,continuous,low_minus_high,small_firms,2000-08-31,P03,7.88429492124036
ME,continuous,low_minus_high,small_firms,2000-08-31,P04,11.389805096470694
ME,continuous,low_minus_high,small_firms,2000-08-31,P05,3.782953364094447
ME,continuous,low_minus_high,small_firms,2000-08-31,P06,8.85003735402713
ME,continuous,low_minus_high,small_firms,2000-08-31,P07,-0.42433301325291667
ME,continuous,low_minus_high,small_firms,2000-08-31,P08,4.389976625259944
ME,continuous,low_minus_high,small_firms,2000-08-31,P09,5.27097988097507
ME,continuous,low_minus_high,small_firms,2000-08-31,P10,0.47553633840413584
ME,continuous,low_minus_high,small_firms,2000-09-30,P01,-2.971449355557846
ME,continuous,low_minus_high,small_firms,2000-09-30,P02,-1.0675115585139856
ME,continuous,low_minus_high,small_firms,2000-09-30,P03,2.0595184492140013
ME,continuous,low_minus_high,small_firms,2000-09-30,P04,-2.2815813124268094
ME,continuous,low_minus_high,small_firms,2000-09-30,P05,0.7017156140234531
ME,continuous,low_minus_high,small_firms,2000-09-30,P06,-2.3690464602691814
ME,continuous,low_minus_high,small_firms,2000-09-30,P07,-2.182137719848327
ME,continuous,low_minus_high,small_firms,2000-09-30,P08,-0.10388146776679255
ME,continuous,low_minus_high,small_firms,2000-09-30,P09,-4.030574495092279
ME,continuous,low_minus_high,small_firms,2000-09-30,P10,-5.222245657289924
ME,continuous,low_minus_high,small_firms,2000-10-31,P01,-16.359008986703415
ME,continuous,low_minus_high,small_firms,2000-10-31,P02,-12.269304745251107
ME,continuous,low_minus_high,small_firms,2000-10-31,P03,-10.060565603341175
ME,continuous,low_minus_high,small_firms,2000-10-31,P04,-6.994980103044579
ME,continuous,low_minus_high,small_firms,2000-10-31,P05,-10.54123645466487
ME,continuous,low_minus_high,small_firms,2000-10-31,P06,-3.6576885745877123
ME,continuous,low_minus_high,small_firms,2000-10-31,P07,-9.06402725619267
ME,continuous,low_minus_high,small_firms,2000-10-31,P08,-6.52986621285702
ME,continuous,low_minus_high,small_firms,2000-10-31,P09,-8.460036300292725
ME,continuous,low_minus_high,small_firms,2000-10-31,P10,0.9681607140341422
ME,continuous,low_minus_high,small_firms,2000-11-30,P01,-10.276123936296418
ME,continuous,low_minus_high,small_firms,2000-11-30,P02,-6.899786582389425
ME,continuous,low_minus_high,small_firms,2000-11-30,P03,-12.513048530765127
ME,continuous,low_minus_high,small_firms,2000-11-30,P04,-2.941809875622958
ME,continuous,low_minus_high,small_firms,2000-11-30,P05,-4.177301818093175
ME,continuous,low_minus_high,small_firms,2000-11-30,P06,-5.810436650168116
ME,continuous,low_minus_high,small_firms,2000-11-30,P07,-8.109874527751577
ME,continuous,low_minus_high,small_firms,2000-11-30,P08,-6.8516863881523475
ME,continuous,low_minus_high,small_firms,2000-11-30,P09,-6.448154987979046
ME,continuous,low_minus_high,small_firms,2000-11-30,P10,-6.676108850028391
ME,continuous,low_minus_high,small_firms,2000-12-31,P01,-20.2165767877504
ME,continuous,low_minus_high,small_firms,2000-12-31,P02,-8.83111493940422
ME,continuous,low_minus_high,small_firms,2000-12-31,P03,-6.947151568314114
ME,continuous,low_minus_high,small_firms,2000-12-31,P04,-7.619828930806485
ME,continuous,low_minus_high,small_firms,2000-12-31,P05,-5.77408005483759
ME,continuous,low_minus_high,small_firms,2000-12-31,P06,-6.623126805207176
ME,continuous,low_minus_high,small_firms,2000-12-31,P07,-1.9793442427168841
ME,continuous,low_minus_high,small_firms,2000-12-31,P08,2.2473691339863064
ME,continuous,low_minus_high,small_firms,2000-12-31,P09,1.8018335210784684
ME,continuous,low_minus_high,small_firms,2000-12-31,P10,1.6065776606672035
ME,continuous,low_minus_high,small_firms,2001-01-31,P01,32.13809365874881
ME,continuous,low_minus_high,small_firms,2001-01-31,P02,26.474826613962943
ME,continuous,low_minus_high,small_firms,2001-01-31,P03,3.0874996611034473
ME,continuous,low_minus_high,small_firms,2001-01-31,P04,4.66835266025991
ME,continuous,low_minus_high,small_firms,2001-01-31,P05,6.895325927356926
ME,continuous,low_minus_high,small_firms,2001-01-31,P06,6.195236134628467
ME,continuous,low_minus_high,small_firms,2001-01-31,P07,12.92811010479721
ME,continuous,low_minus_high,small_firms,2001-01-31,P08,3.6352237818804483
ME,continuous,low_minus_high,small_firms,2001-01-31,P09,4.069867479261385
ME,continuous,low_minus_high,small_firms,2001-01-31,P10,8.440704712012648
ME,continuous,low_minus_high,small_firms,2001-02-28,P01,-7.144662287782474
ME,continuous,low_minus_high,small_firms,2001-02-28,P02,-7.841657265925049
ME,continuous,low_minus_high,small_firms,2001-02-28,P03,-16.771207305453007
ME,continuous,low_minus_high,small_firms,2001-02-28,P04,-6.5125745521855745
ME,continuous,low_minus_high,small_firms,2001-02-28,P05,-7.80586083695957
ME,continuous,low_minus_high,small_firms,2001-02-28,P06,-11.20897668146055
