sort_variable,sentiment_index_label,sentiment_regressor,macro_orthogonalized_flag,main_specification_flag,model_count,mean_coef,mean_hac_t,mean_expected_signed_t,mean_bootstrap_t,mean_expected_signed_bootstrap_t,hac_theory_consistent_5pct_share,bootstrap_theory_consistent_5pct_share,mean_r2,min_n_obs,median_n_obs
E_plus_BE,SENT_ORTH_DIV_PREMIUM_INNOVATION,SENT_ORTH_DIV_PREMIUM_innovation_lag,True,False,4,-0.05153426673000902,0.037788996121270874,-0.037788996121270874,0.032600863508913225,-0.032600863508913225,0.0,0.0,0.09969230114229882,241,249.0
GS,SENT_ORTH_DIV_PREMIUM_INNOVATION,SENT_ORTH_DIV_PREMIUM_innovation_lag,True,False,4,-2.275904330804187,-1.5461355021669316,1.5461355021669316,-1.4651873719663684,1.4651873719663684,0.25,0.25,0.061871079690745484,229,236.5
ILLIQ,SENT_ORTH_DIV_PREMIUM_INNOVATION,SENT_ORTH_DIV_PREMIUM_innovation_lag,True,False,4,-0.4545171820726364,-0.4472086153850183,0.4472086153850183,-0.4258394630826368,0.4258394630826368,0.0,0.0,0.5811730443597232,276,283.5
IVOL_FF3,SENT_ORTH_DIV_PREMIUM_INNOVATION,SENT_ORTH_DIV_PREMIUM_innovation_lag,True,False,4,-4.745820123528986,-1.5245735907679594,1.5245735907679594,-1.5412460854533727,1.5412460854533727,0.25,0.25,0.4582916716528495,276,283.5
ME,SENT_ORTH_DIV_PREMIUM_INNOVATION,SENT_ORTH_DIV_PREMIUM_innovation_lag,True,False,4,-3.249485102570798,-1.4556850483729291,1.4556850483729291,-1.3635765201210535,1.3635765201210535,0.25,0.25,0.4749278343211507,276,283.5
NON_D_PAYER,SENT_ORTH_DIV_PREMIUM_INNOVATION,SENT_ORTH_DIV_PREMIUM_innovation_lag,True,False,4,-1.4872457291485963,-1.3054276893471237,1.3054276893471237,-1.308058134958413,1.308058134958413,0.25,0.25,0.6058785889312119,276,283.5
PPE_A,SENT_ORTH_DIV_PREMIUM_INNOVATION,SENT_ORTH_DIV_PREMIUM_innovation_lag,True,False,4,-3.5367716884819025,-1.6972400463952564,1.6972400463952564,-1.641703765295618,1.641703765295618,0.5,0.5,0.06423134960113061,276,283.5
UNPROFITABLE,SENT_ORTH_DIV_PREMIUM_INNOVATION,SENT_ORTH_DIV_PREMIUM_innovation_lag,True,False,4,-0.4973360633433702,-0.19453021233004741,0.19453021233004741,-0.2005771511744606,0.2005771511744606,0.0,0.0,0.5166153796512396,241,249.0
XTURN,SENT_ORTH_DIV_PREMIUM_INNOVATION,SENT_ORTH_DIV_PREMIUM_innovation_lag,True,False,4,-0.5286203271678933,-0.6236057978954694,0.6236057978954694,-0.6149329455610956,0.6149329455610956,0.0,0.0,0.19383753418346947,276,283.5
age,SENT_ORTH_DIV_PREMIUM_INNOVATION,SENT_ORTH_DIV_PREMIUM_innovation_lag,True,False,4,-1.9696527037884914,-0.9968617506680626,0.9968617506680626,-0.9875416939095836,0.9875416939095836,0.0,0.0,0.25590299951806017,276,283.5
risk,SENT_ORTH_DIV_PREMIUM_INNOVATION,SENT_ORTH_DIV_PREMIUM_innovation_lag,True,False,4,-4.852165991388691,-1.8602917673170765,1.8602917673170765,-1.8769653348997586,1.8769653348997586,0.25,0.25,0.4742629172711573,276,283.5
