component,eigenvalue,proportion,cumulative,retained_flag
Comp1,3.348836351279672,0.2548047035946639,0.2548047035946639,True
Comp2,2.4473802513137897,0.18621513090096206,0.441019834495626,True
Comp3,1.7831690978438293,0.13567694141328798,0.576696775908914,True
Comp4,1.3992738761899621,0.10646730024120066,0.6831640761501147,True
Comp5,1.2928222451835434,0.09836765802506364,0.7815317341751783,True
Comp6,0.5329384540489197,0.04054997335604134,0.8220817075312197,True
Comp7,0.4918065021601497,0.037420344520854125,0.8595020520520738,True
Comp8,0.47522860346155227,0.03615897307088633,0.8956610251229601,False
Comp9,0.41061496626026384,0.03124268067906605,0.9269037058020262,False
Comp10,0.39319890297996446,0.029917535352025255,0.9568212411540514,False
Comp11,0.3371414505799752,0.025652261972036683,0.982473503126088,False
Comp12,0.17842470535729876,0.01357589604077221,0.9960493991668603,False
Comp13,0.03582594607890219,0.002725907931614758,0.9987753070984751,False
Comp14,0.01609584144217807,0.001224692901524939,1.0,False
