variable,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,sum
ESI,0.006087174982213881,-0.031461401021115734,0.06542812190423729,0.004831186578148699,-0.0470086556768335,-0.010385262933341742,0.0024920231199141445,-0.010016813046776969
ESI_L1,0.0014610917926945791,-0.029692772005427366,0.058274621468481794,-0.030304510124521577,0.04633870666539764,0.017053855073527358,0.00242003607106149,0.06555102894121391
CCI,0.011535156443764561,-0.034270703331484534,0.061788650781478285,0.01792900719867603,-0.0472822162903622,0.013990466077227294,-0.0011033351181451826,0.02258702576115425
CCI_L1,0.009097380838903863,-0.0376404388288538,0.06421596862904815,-0.01694275504815218,0.04346939550566787,-0.018045310664124133,0.0015464839119642554,0.04570072434445402
TURN,-0.02639923080274316,0.0973527395940113,0.03089153518731379,0.025415232087595576,0.009054722543968349,0.001403940335808764,0.005016492157865543,0.14273543110382017
TURN_L1,-0.022900077540144417,0.09426055655851244,0.03164341331359172,0.02991090943993334,0.010225920275219357,0.005135368472847826,0.008190764710160716,0.15646685523012097
NIPO,0.03918687291765849,-0.05429146187792305,-0.007782500155908291,0.06435078304060278,0.01560210826526788,0.0016989480218462516,0.013467044603400919,0.07223179481494497
NIPO_L1,0.0412923821856598,-0.05893828608322468,-0.005623842507929871,0.05751458883302856,0.024647852809312625,-0.0003231628138364549,-0.013260278063026291,0.04530925435998369
RIPO,-0.006191119950271359,0.00021457374704379008,-0.0019066023276452539,0.0013302015320679462,0.008389734324733906,0.022514419127875485,-0.001923934939507477,0.022427271514297038
RIPO_L1,-0.0050975645494778805,0.0015855968524759987,-0.008821296703870692,0.0062110901339398035,0.0026858523028924614,-0.009301881801400602,0.02245276206920207,0.009714558303761157
ED_RATIO,0.12971924321299555,-0.005935568429757875,-0.011875777262020947,-0.018248218806066467,-0.006874507638705431,0.004992234073185092,0.010650033553319779,0.10242743870294972
ED_RATIO_L1,0.13001615508122963,-0.006487028743379395,-0.011069671871093844,-0.01891063520101167,-0.003769055246697791,0.00524188752937987,0.010477048891241101,0.1054987004396679
DIV_PREMIUM,0.11551016240595355,0.05114144680498853,0.012576313095511302,0.006583727773357402,0.0035377649083794907,-0.003863635769680788,-0.010388693366158417,0.17509708585235104
DIV_PREMIUM_L1,0.114325089756046,0.05228859997447568,0.01545834888132052,0.004607188039935469,0.0021974176328932848,-0.005671053226691163,-0.009808752030975932,0.17339683902700384
